,CodigoDistribuidor,Mes,CodigoFecha,Ventas,Ventas_acumuladas,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day
3804,CHINCHA.01.67882,5,2020-05-15,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,15
3805,CHINCHA.01.67882,5,2020-05-16,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,16
3806,CHINCHA.01.67882,5,2020-05-18,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,18
3807,CHINCHA.01.67882,5,2020-05-19,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,19
3808,CHINCHA.01.67882,5,2020-05-20,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,20
3809,CHINCHA.01.67882,5,2020-05-21,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,26593.2443,321232.13300000003,21
3810,CHINCHA.01.67882,5,2020-05-22,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,26824.9497,348057.0827,22
3811,CHINCHA.01.67882,5,2020-05-23,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,24288.2902,372345.3729,23
3812,CHINCHA.01.67882,5,2020-05-25,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,31028.9598,403374.3327,25
3813,CHINCHA.01.67882,5,2020-05-26,15129.3169,584968.8673,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,24643.1033,428017.43600000005,26
3814,CHINCHA.01.67882,5,2020-05-27,12537.2877,597506.155,15129.3169,584968.8673,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,21843.5974,449861.0334000001,27
3815,CHINCHA.01.67882,5,2020-05-28,13075.2047,610581.3597,12537.2877,597506.155,15129.3169,584968.8673,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,26442.7544,476303.78780000005,28
3816,CHINCHA.01.67882,5,2020-05-29,13178.7178,623760.0775,13075.2047,610581.3597,12537.2877,597506.155,15129.3169,584968.8673,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,29945.5575,506249.34530000004,29
3817,CHINCHA.01.67882,5,2020-05-30,7206.9771,630967.0546,13178.7178,623760.0775,13075.2047,610581.3597,12537.2877,597506.155,15129.3169,584968.8673,17425.3038,569839.5504000001,27042.5854,552414.2466000001,19122.3159,525371.6612000001,30
3818,CHINCHA.01.67882,6,2020-06-01,5872.8166,5872.8166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3819,CHINCHA.01.67882,6,2020-06-02,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3820,CHINCHA.01.67882,6,2020-06-03,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3821,CHINCHA.01.67882,6,2020-06-04,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
3822,CHINCHA.01.67882,6,2020-06-05,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,0.0,0.0,0.0,0.0,5
3823,CHINCHA.01.67882,6,2020-06-06,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,0.0,0.0,6
3824,CHINCHA.01.67882,6,2020-06-08,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,0.0,0.0,8
3825,CHINCHA.01.67882,6,2020-06-09,19162.8491,198441.69879999998,16212.017,179278.8497,16038.4132,163066.8327,36149.9895,147028.4195,29988.9577,110878.43,63638.8805,80889.4723,11377.7752,17250.591800000002,5872.8166,5872.8166,9
